12-24 13:02:50 | Blue-H vs Red-H
12-24 13:02:50 | Directory: results\exp_2_baseline\evaluation.log
12-24 13:02:53 | Episode:     2 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.365 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.643 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   4.000
12-24 13:02:53 | Episode:     3 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.615 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.144 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   5.000
12-24 13:02:53 | Episode:     4 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.872 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.981 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   7.000
12-24 13:02:53 | Episode:     5 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.992 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.062 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   8.000
12-24 13:02:53 | Episode:     6 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.311 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.274 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  10.000
12-24 13:02:53 | Episode:     7 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.343 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.762 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   1.000
12-24 13:02:53 | Episode:     8 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.895 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.130 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   2.000
12-24 13:02:53 | Episode:     9 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.839 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.759 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   3.000
12-24 13:02:53 | Episode:    10 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.498 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.199 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:   6.000
12-24 13:02:53 | Episode:    11 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  14.085 | timestep:  85.000 | blue catch:   0.000 | blue attack:   2.390 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   9.000
12-24 13:02:56 | Episode:    12 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.237 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.892 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  11.000
12-24 13:02:56 | Episode:    13 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.582 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.121 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  14.000
12-24 13:02:56 | Episode:    14 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.492 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.728 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  15.000
12-24 13:02:56 | Episode:    15 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.211 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.208 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  16.000
12-24 13:02:56 | Episode:    16 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  19.822 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.414 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  12.000
12-24 13:02:56 | Episode:    17 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  14.074 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.782 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  19.000
12-24 13:02:56 | Episode:    18 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.828 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.752 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  13.000
12-24 13:02:56 | Episode:    19 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.718 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.012 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  17.000
12-24 13:02:56 | Episode:    20 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.392 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.128 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  18.000
12-24 13:02:56 | Episode:    21 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  11.829 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.286 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  20.000
12-24 13:02:59 | Episode:    22 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.189 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.526 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  21.000
12-24 13:02:59 | Episode:    23 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.490 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.060 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  22.000
12-24 13:02:59 | Episode:    24 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  16.269 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.913 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  24.000
