12-23 18:21:37 | Blue-H vs Red-H
12-23 18:21:37 | Directory: results\Test_90\evaluation.log
12-23 18:21:40 | Episode:     2 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   1.000
12-23 18:21:52 | Episode:     3 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   2.000
12-23 18:22:16 | Episode:     4 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   3.000
12-23 18:22:41 | Episode:     5 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   4.000
12-23 18:23:06 | Episode:     6 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.755 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.007 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   5.000
12-23 18:23:31 | Episode:     7 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   6.000
12-23 18:23:56 | Episode:     8 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   7.000
12-23 18:24:24 | Episode:     9 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   8.000
12-23 18:25:07 | Episode:    10 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   9.000
12-23 18:25:33 | Episode:    11 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  10.000
12-23 18:25:57 | Episode:    12 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.900 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  11.000
12-23 18:26:24 | Episode:    13 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.260 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.013 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  12.000
12-23 18:26:50 | Episode:    14 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  13.000
12-23 18:27:13 | Episode:    15 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  14.000
12-23 18:27:39 | Episode:    16 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.350 | timestep:  89.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  15.000
12-23 18:28:06 | Episode:    17 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  16.000
12-23 18:28:30 | Episode:    18 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  17.000
