12-24 14:25:24 | Blue-H vs Red-H
12-24 14:25:24 | Directory: results\exp_2_approachB\exp_2_approachB.log
12-24 14:25:26 | Episode:     2 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.781 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.921 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:   4.000
12-24 14:25:26 | Episode:     3 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.977 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.718 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:   5.000
12-24 14:25:26 | Episode:     4 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.350 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.300 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   7.000
12-24 14:25:26 | Episode:     5 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.553 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.769 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:   8.000
12-24 14:25:26 | Episode:     6 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  13.736 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.891 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  10.000
12-24 14:25:27 | Episode:     7 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.218 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.679 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   1.000
12-24 14:25:27 | Episode:     8 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.092 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.928 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   2.000
12-24 14:25:27 | Episode:     9 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  15.930 | timestep:  84.000 | blue catch:   1.000 | blue attack:   1.487 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   3.000
12-24 14:25:27 | Episode:    10 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.002 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.868 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:   6.000
12-24 14:25:27 | Episode:    11 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  18.197 | timestep:  85.000 | blue catch:   1.000 | blue attack:   2.798 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   9.000
12-24 14:25:30 | Episode:    12 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.221 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.214 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  11.000
12-24 14:25:30 | Episode:    13 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.882 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.988 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  14.000
12-24 14:25:30 | Episode:    14 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.896 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.331 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  15.000
12-24 14:25:30 | Episode:    15 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.410 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.007 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  16.000
12-24 14:25:30 | Episode:    16 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.309 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.406 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  12.000
12-24 14:25:30 | Episode:    17 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.812 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.275 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  19.000
12-24 14:25:30 | Episode:    18 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.509 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.206 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  13.000
12-24 14:25:30 | Episode:    19 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.072 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.582 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  17.000
12-24 14:25:30 | Episode:    20 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.230 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.687 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  18.000
12-24 14:25:30 | Episode:    21 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  15.878 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.652 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  20.000
12-24 14:25:33 | Episode:    22 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.984 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.389 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  21.000
12-24 14:25:33 | Episode:    23 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.307 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.605 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  22.000
12-24 14:25:33 | Episode:    24 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.912 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.675 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  24.000
12-24 14:25:33 | Episode:    25 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.989 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.059 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  25.000
12-24 14:25:33 | Episode:    26 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.228 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.552 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  26.000
12-24 14:25:33 | Episode:    27 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.526 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.417 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  27.000
12-24 14:25:33 | Episode:    28 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  15.113 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.609 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  23.000
12-24 14:25:33 | Episode:    29 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.620 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.480 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  28.000
12-24 14:25:33 | Episode:    30 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.356 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.304 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  29.000
12-24 14:25:33 | Episode:    31 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.682 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.855 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  30.000
12-24 14:25:36 | Episode:    32 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.004 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.070 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  32.000
12-24 14:25:36 | Episode:    33 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  14.047 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.765 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  33.000
12-24 14:25:36 | Episode:    34 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.576 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.918 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  31.000
12-24 14:25:36 | Episode:    35 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  23.440 | timestep:  83.000 | blue catch:   2.000 | blue attack:   2.693 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  35.000
12-24 14:25:36 | Episode:    36 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.836 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.624 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  37.000
12-24 14:25:36 | Episode:    37 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  15.407 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.805 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  34.000
12-24 14:25:36 | Episode:    38 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.517 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.545 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  36.000
12-24 14:25:36 | Episode:    39 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  16.886 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.324 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  40.000
12-24 14:25:36 | Episode:    40 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.506 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.871 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  38.000
12-24 14:25:36 | Episode:    41 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  17.232 | timestep:  84.000 | blue catch:   1.000 | blue attack:   2.355 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  39.000
12-24 14:25:39 | Episode:    42 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  20.280 | timestep:  83.000 | blue catch:   1.000 | blue attack:   2.920 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  41.000
12-24 14:25:39 | Episode:    43 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.974 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.716 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  42.000
12-24 14:25:39 | Episode:    44 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  18.609 | timestep:  83.000 | blue catch:   1.000 | blue attack:   1.806 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  45.000
12-24 14:25:39 | Episode:    45 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.937 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.491 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  43.000
