12-24 14:01:33 | Blue-H vs Red-H
12-24 14:01:33 | Directory: results\exp_2_approachB\exp_2_approachB.log
12-24 14:01:36 | Episode:     2 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.376 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.984 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   4.000
12-24 14:01:36 | Episode:     3 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.692 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.195 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:   5.000
12-24 14:01:36 | Episode:     4 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.301 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.601 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   7.000
12-24 14:01:36 | Episode:     5 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.276 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.918 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   8.000
12-24 14:01:36 | Episode:     6 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.029 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.753 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  10.000
12-24 14:01:36 | Episode:     7 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   9.429 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.153 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   1.000
12-24 14:01:36 | Episode:     8 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.640 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.627 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   2.000
12-24 14:01:36 | Episode:     9 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  18.705 | timestep:  84.000 | blue catch:   1.000 | blue attack:   1.670 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   3.000
12-24 14:01:36 | Episode:    10 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   8.642 | timestep:  84.000 | blue catch:   0.000 | blue attack:   2.295 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:   6.000
12-24 14:01:36 | Episode:    11 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  18.094 | timestep:  85.000 | blue catch:   1.000 | blue attack:   2.730 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   9.000
12-24 14:01:39 | Episode:    12 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.933 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.355 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  11.000
12-24 14:01:39 | Episode:    13 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.693 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.862 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  14.000
12-24 14:01:39 | Episode:    14 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.712 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.875 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  15.000
12-24 14:01:39 | Episode:    15 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.597 | timestep:  83.000 | blue catch:   0.000 | blue attack:   2.132 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  16.000
12-24 14:01:39 | Episode:    16 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   7.611 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.607 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  12.000
12-24 14:01:39 | Episode:    17 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.906 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.337 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  19.000
12-24 14:01:39 | Episode:    18 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.287 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.058 | blue island dead:   3.000 | blue reward feedback:   0.000 | seed:  13.000
12-24 14:01:39 | Episode:    19 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   6.254 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.703 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  17.000
12-24 14:01:39 | Episode:    20 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  10.667 | timestep:  84.000 | blue catch:   0.000 | blue attack:   1.978 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  18.000
12-24 14:01:39 | Episode:    21 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:  12.401 | timestep:  83.000 | blue catch:   0.000 | blue attack:   1.667 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  20.000
