12-23 21:43:24 | Blue-H vs Red-H
12-23 21:43:24 | Directory: results\Test_577\evaluation.log
12-23 21:43:28 | Episode:     2 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   1.000
12-23 21:43:42 | Episode:     3 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   2.000
12-23 21:44:01 | Episode:     4 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   3.000
12-23 21:44:20 | Episode:     5 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   4.000
12-23 21:44:39 | Episode:     6 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.755 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.007 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   5.000
12-23 21:44:58 | Episode:     7 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:   6.000
12-23 21:45:17 | Episode:     8 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   7.000
12-23 21:45:36 | Episode:     9 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   8.000
12-23 21:46:04 | Episode:    10 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:   9.000
12-23 21:46:22 | Episode:    11 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  10.000
12-23 21:46:41 | Episode:    12 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.600 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  11.000
12-23 21:47:01 | Episode:    13 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  12.000
12-23 21:47:19 | Episode:    14 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  13.000
12-23 21:47:38 | Episode:    15 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.050 | timestep:  87.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  14.000
12-23 21:47:57 | Episode:    16 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.277 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.037 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  15.000
12-23 21:48:16 | Episode:    17 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.975 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.034 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  16.000
12-23 21:48:37 | Episode:    18 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   0.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  17.000
12-23 21:49:09 | Episode:    19 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  18.000
12-23 21:49:32 | Episode:    20 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  19.000
12-23 21:49:55 | Episode:    21 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   0.700 | timestep:  88.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  20.000
12-23 21:50:17 | Episode:    22 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  21.000
12-23 21:50:40 | Episode:    23 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  22.000
12-23 21:51:02 | Episode:    24 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.969 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.025 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  23.000
12-23 21:51:24 | Episode:    25 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.603 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.004 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  24.000
12-23 21:51:46 | Episode:    26 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  25.000
12-23 21:52:09 | Episode:    27 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.450 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  26.000
12-23 21:52:32 | Episode:    28 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.750 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  27.000
12-23 21:53:04 | Episode:    29 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  28.000
12-23 21:53:26 | Episode:    30 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   4.950 | timestep:  83.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  29.000
12-23 21:53:48 | Episode:    31 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.104 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.005 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  30.000
12-23 21:54:10 | Episode:    32 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   1.005 | timestep:  90.000 | blue catch:   0.000 | blue attack:   0.006 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  31.000
12-23 21:54:31 | Episode:    33 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  32.000
12-23 21:54:53 | Episode:    34 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   0.250 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   2.000 | blue reward feedback:   0.000 | seed:  33.000
12-23 21:55:15 | Episode:    35 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   2.757 | timestep:  85.000 | blue catch:   0.000 | blue attack:   0.009 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  34.000
12-23 21:55:37 | Episode:    36 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.100 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  35.000
12-23 21:56:10 | Episode:    37 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   3.650 | timestep:  91.000 | blue catch:   0.000 | blue attack:   0.000 | blue island dead:   1.000 | blue reward feedback:   0.000 | seed:  36.000
12-23 21:56:33 | Episode:    38 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.113 | timestep:  84.000 | blue catch:   0.000 | blue attack:   0.017 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  37.000
12-23 21:56:55 | Episode:    39 | blue win:   0.000 | red win:   1.000 | draw:   0.000 | blue reward:   5.589 | timestep:  86.000 | blue catch:   0.000 | blue attack:   0.252 | blue island dead:   0.000 | blue reward feedback:   0.000 | seed:  38.000
